chr	start	end	gene_id	strand	PAS
chr1	26692131	26694131	ENSG00000260063.1	-	26692131
chr1	26863148	26864456	ENSG00000175793.12	+	26864456
chr1	26890487	26900467	ENSG00000198746.13	-	26890487
chr1	26911488	26913975	ENSG00000131910.5	-	26911488
chr1	26949561	26960468	ENSG00000175707.10	-	26949561
chr1	27342019	27353937	ENSG00000142765.18	+	27353937
chr1	27379175	27383333	ENSG00000174950.11	-	27379175
chr1	27392621	27395814	ENSG00000181773.7	+	27395814
chr1	27773857	27774041	ENSG00000269971.1	+	27774041
chr1	28247143	28247568	ENSG00000271398.1	+	28247568
chr1	28812169	28871267	ENSG00000116329.12	+	28871267
chr1	29223932	29224816	ENSG00000237934.1	+	29224816
chr1	29329619	29350114	ENSG00000230523.1	-	29329619
chr1	29708850	29709547	ENSG00000228176.1	-	29708850
chr1	30013951	30037612	ENSG00000233399.2	-	30013951
chr1	30140262	30141607	ENSG00000233372.1	+	30141607
chr1	30415824	30421108	ENSG00000231949.1	+	30421108
chr1	30731692	30733427	ENSG00000287510.1	+	30733427
chr1	30858157	30860254	ENSG00000235143.1	+	30860254
chr1	31500084	31509648	ENSG00000260386.6	+	31509648
chr1	31629865	31644896	ENSG00000162517.13	-	31629865
chr1	31727116	31764893	ENSG00000121753.13	-	31727116
chr1	32200594	32205453	ENSG00000160050.16	+	32205453
chr1	32209088	32216192	ENSG00000222046.3	+	32216192
chr1	32231655	32241710	ENSG00000291132.1	-	32231655
chr1	32251243	32286165	ENSG00000182866.18	+	32286165
chr1	32936444	32964809	ENSG00000116514.17	-	32936444
chr1	32987074	33032469	ENSG00000236065.2	+	33032469
chr1	33350351	33363245	ENSG00000233246.1	+	33363245
chr1	33868952	33893726	ENSG00000231163.6	+	33893726
chr1	34166882	34219131	ENSG00000142698.15	+	34219131
chr1	34759739	34762327	ENSG00000189433.7	+	34762327
chr1	34865435	34929650	ENSG00000116544.12	-	34865435
chr1	35358821	35366077	ENSG00000227409.1	-	35358821
chr1	35739388	35743576	ENSG00000232335.1	+	35743576
chr1	36080065	36084026	ENSG00000232862.5	-	36080065
chr1	36095238	36125222	ENSG00000171812.13	-	36095238
chr1	36322029	36324154	ENSG00000142694.7	-	36322029
chr1	37611349	37634892	ENSG00000169218.14	-	37611349
chr1	37793846	37801137	ENSG00000185090.15	+	37801137
chr1	37860696	37861580	ENSG00000230955.1	+	37861580
chr1	38080571	38080911	ENSG00000223589.2	-	38080571
chr1	38209033	38214806	ENSG00000237290.2	-	38209033
chr1	38754215	38815979	ENSG00000284632.1	-	38754215
chr1	39249837	39257649	ENSG00000226438.1	-	39249837
chr1	39522279	39559698	ENSG00000291129.1	-	39522279
chr1	39769522	39771348	ENSG00000198754.5	-	39769522
chr1	39788975	39790171	ENSG00000261798.1	+	39790171
chr1	39838109	39883511	ENSG00000043514.17	-	39838109
chr1	40245946	40251684	ENSG00000188800.6	+	40251684
chr1	40514460	40515057	ENSG00000227278.1	-	40514460
chr1	40783786	40840452	ENSG00000117013.17	+	40840452
chr1	40863913	40876670	ENSG00000229528.1	+	40876670
chr1	41015588	41023237	ENSG00000171790.16	-	41015588
chr1	41242372	41284861	ENSG00000235358.2	+	41284861
chr1	41241771	41338644	ENSG00000287400.1	+	41338644
chr1	41375003	41375669	ENSG00000229901.1	-	41375003
chr1	41361921	41383590	ENSG00000204060.8	+	41383590
chr1	42162689	42164745	ENSG00000197273.4	-	42162689
chr1	42832521	42846427	ENSG00000228192.10	-	42832521
chr1	43172329	43254358	ENSG00000243710.8	+	43254358
chr1	43354683	43358676	ENSG00000234694.2	-	43354683
chr1	43358980	43363203	ENSG00000117399.14	+	43363203
chr1	43385112	43389155	ENSG00000229431.1	+	43389155
chr1	43447775	43448644	ENSG00000229372.1	-	43447775
chr1	43685122	43708138	ENSG00000236200.7	-	43685122
chr1	43991358	43996528	ENSG00000159214.13	+	43996528
chr1	44118820	44135140	ENSG00000171872.5	+	44135140
chr1	44777842	44777912	ENSG00000202031.1	+	44777912
chr1	44783584	44788170	ENSG00000142959.5	-	44783584
chr1	44805892	44807351	ENSG00000188396.4	-	44805892
chr1	44800376	44805990	ENSG00000173846.13	+	44805990
chr1	46134530	46139081	ENSG00000227857.2	+	46139081
chr1	46175485	46176488	ENSG00000250719.2	-	46175485
chr1	46432128	46445321	ENSG00000232022.10	+	46445321
chr1	46446599	46451317	ENSG00000224863.3	-	46446599
chr1	46538610	46570255	ENSG00000269956.2	+	46570255
chr1	46668854	46673594	ENSG00000186118.9	+	46673594
chr1	46674035	46692098	ENSG00000228237.5	+	46692098
chr1	47225796	47230750	ENSG00000226252.1	+	47230750
chr1	47416284	47418052	ENSG00000186790.6	+	47418052
chr1	48096091	48161871	ENSG00000290466.1	-	48096091
chr1	48172971	48206857	ENSG00000223720.2	+	48206857
chr1	48222684	48248644	ENSG00000117834.13	+	48248644
chr1	50417549	50423443	ENSG00000142700.12	-	50417549
chr1	51789190	51878805	ENSG00000078618.23	-	51789190
chr1	51801027	51801307	ENSG00000272175.1	+	51801307
chr1	52633167	52669683	ENSG00000182183.15	+	52669683
chr1	52881215	52881730	ENSG00000242391.2	-	52881215
chr1	53220662	53224253	ENSG00000259818.1	+	53224253
chr1	53267934	53268601	ENSG00000234578.1	+	53268601
chr1	53459398	53467488	ENSG00000143006.7	+	53467488
chr1	54137745	54142980	ENSG00000280425.2	+	54142980
chr1	54236439	54239063	ENSG00000198711.5	+	54239063
chr1	54516411	54517259	ENSG00000235741.1	-	54516411
chr1	54609180	54623556	ENSG00000162391.12	-	54609180
chr1	54792884	54794905	ENSG00000237453.1	+	54794905
chr1	55217644	55324691	ENSG00000231090.2	+	55324691
chr1	55915602	55944980	ENSG00000230250.3	-	55915602
chr1	55868253	55950119	ENSG00000233079.3	+	55950119
chr1	56414917	56417137	ENSG00000223956.5	+	56417137
chr1	56494760	56645301	ENSG00000162407.9	-	56494760
chr1	56823678	56826920	ENSG00000229913.1	-	56823678
chr1	56929206	56974383	ENSG00000021852.14	-	56929206
chr1	58060138	58080274	ENSG00000235038.1	+	58080274
chr1	58812807	58813342	ENSG00000272226.1	-	58812807
chr1	59289302	59289640	ENSG00000270457.1	-	59289302
chr1	59987268	60073770	ENSG00000162598.13	-	59987268
chr1	62211556	62211666	ENSG00000200174.1	+	62211666
chr1	62688481	62710694	ENSG00000235545.1	+	62710694
chr1	62975750	63022504	ENSG00000229537.7	-	62975750
chr1	63024206	63025658	ENSG00000227485.1	+	63025658
chr1	63320877	63324441	ENSG00000230798.7	-	63320877
chr1	63547081	63550636	ENSG00000116652.6	+	63550636
chr1	64186790	64192685	ENSG00000284928.1	+	64192685
chr1	65003469	65004087	ENSG00000272506.1	-	65003469
chr1	66042499	66050718	ENSG00000227466.1	-	66042499
chr1	67138906	67259979	ENSG00000162594.17	+	67259979
chr1	67522298	67532612	ENSG00000235200.5	+	67532612
chr1	68428821	68449954	ENSG00000116745.7	-	68428821
chr1	68679201	68943452	ENSG00000285407.1	+	68943452
chr1	69055837	69229607	ENSG00000223883.2	+	69229607
chr1	69215834	69249477	ENSG00000235446.2	-	69215834
chr1	69919321	69920317	ENSG00000229359.2	+	69920317
chr1	70715932	70720289	ENSG00000226208.1	-	70715932
chr1	70706440	70786468	ENSG00000229051.2	+	70786468
chr1	72765030	72791282	ENSG00000227016.3	+	72791282
chr1	73635215	73715214	ENSG00000223479.3	+	73715214
chr1	74577429	74626098	ENSG00000234497.5	+	74626098
chr1	74698768	74699333	ENSG00000272864.1	-	74698768
chr1	74963313	74965118	ENSG00000229943.1	+	74965118
chr1	75122517	75123927	ENSG00000261213.1	-	75122517
chr1	75918872	75932404	ENSG00000154007.7	-	75918872
chr1	75926453	76019356	ENSG00000225605.3	+	76019356
chr1	76636876	76637339	ENSG00000272855.1	+	76637339
chr1	78004345	78004554	ENSG00000273338.1	-	78004345
chr1	78649795	78664078	ENSG00000137965.11	+	78664078
chr1	79967732	80051404	ENSG00000285409.1	-	79967732
chr1	80114942	80116918	ENSG00000260322.1	+	80116918
chr1	80373363	80374621	ENSG00000225598.1	-	80373363
chr1	80535754	80646854	ENSG00000234184.8	+	80646854
chr1	81513879	81557702	ENSG00000234953.2	-	81513879
chr1	82970819	82986208	ENSG00000236268.6	-	82970819
chr1	83575775	83861053	ENSG00000233008.8	-	83575775
chr1	83979117	83984300	ENSG00000233061.1	-	83979117
chr1	84363705	84397831	ENSG00000240520.7	-	84363705
chr1	84398483	84415018	ENSG00000137976.8	+	84415018
chr1	85467294	85467660	ENSG00000273264.1	+	85467660
chr1	85578499	85578742	ENSG00000272691.1	-	85578499
chr1	85729232	86156943	ENSG00000171502.15	-	85729232
chr1	86468367	86500259	ENSG00000016490.16	+	86500259
chr1	86547077	86580754	ENSG00000016602.9	+	86580754
chr1	86634272	86655376	ENSG00000291014.1	+	86655376
chr1	87353520	87371683	ENSG00000227290.2	-	87353520
chr1	89629724	89676386	ENSG00000230735.1	+	89676386
chr1	89788913	89790492	ENSG00000231613.1	+	89790492
chr1	89820173	89820868	ENSG00000272931.1	-	89820173
chr1	90835659	90849472	ENSG00000285532.2	+	90849472
chr1	91949342	92014426	ENSG00000137948.19	+	92014426
chr1	92217914	92245813	ENSG00000203910.9	+	92245813
chr1	92473042	92486925	ENSG00000162676.13	-	92473042
chr1	92930695	92934098	ENSG00000229052.2	+	92934098
chr1	95243166	95278940	ENSG00000228852.6	-	95243166
chr1	95510058	95782342	ENSG00000228971.4	+	95782342
chr1	95937900	96022890	ENSG00000237435.10	+	96022890
chr1	97095922	97322955	ENSG00000232878.3	+	97322955
chr1	98660387	98661059	ENSG00000280040.1	-	98660387
chr1	99472331	99600995	ENSG00000224445.3	-	99472331
chr1	100038094	100083377	ENSG00000156875.14	+	100083377
chr1	100344476	100345242	ENSG00000223906.1	+	100345242
chr1	100462398	100485997	ENSG00000228086.1	-	100462398
chr1	100894927	100895356	ENSG00000273204.1	+	100895356
chr1	102763321	102853842	ENSG00000230864.1	-	102763321
chr1	104072982	104226678	ENSG00000215869.4	+	104226678
chr1	107964442	107994607	ENSG00000230489.1	+	107994607
chr1	108261195	108273689	ENSG00000238122.1	-	108261195
chr1	108375837	108410814	ENSG00000290552.1	+	108410814
chr1	108420688	108433184	ENSG00000224698.1	+	108433184
chr1	109105950	109113857	ENSG00000179902.13	-	109105950
chr1	109292364	109307011	ENSG00000221986.7	-	109292364
chr1	109603090	109619929	ENSG00000134183.13	-	109603090
chr1	109687813	109709039	ENSG00000134184.13	+	109709039
chr1	109750079	109764027	ENSG00000198758.11	-	109750079
chr1	109895972	109897861	ENSG00000261055.1	+	109897861
chr1	110112442	110113947	ENSG00000186150.5	+	110113947
chr1	110472542	110474980	ENSG00000282887.2	+	110474980
chr1	110473755	110488663	ENSG00000283999.1	+	110488663
chr1	110480751	110491277	ENSG00000240194.7	+	110491277
chr1	110936368	110942353	ENSG00000261654.1	-	110936368
chr1	111181373	111181491	ENSG00000272982.1	-	111181373
chr1	111184414	111185061	ENSG00000273221.1	-	111184414
chr1	111431045	111433068	ENSG00000260948.1	-	111431045
chr1	112715671	112717796	ENSG00000261595.1	+	112717796
chr1	113923999	113929495	ENSG00000235527.7	-	113923999
chr1	114206426	114262278	ENSG00000232895.2	-	114206426
chr1	114673089	114695618	ENSG00000116748.22	-	114673089
chr1	115836376	115843917	ENSG00000177551.5	-	115836376
chr1	116493015	116499212	ENSG00000224950.2	-	116493015
chr1	116909148	116909531	ENSG00000272715.1	-	116909148
chr1	117143586	117210960	ENSG00000134258.18	-	117143586
chr1	117272181	117321336	ENSG00000235202.2	+	117321336
chr1	117596831	117605770	ENSG00000236866.5	-	117596831
chr1	119368778	119394130	ENSG00000116882.15	+	119394130
chr1	119434165	119435080	ENSG00000232780.2	-	119434165
chr1	119507197	119515054	ENSG00000203857.10	+	119515054
chr1	119597701	119599271	ENSG00000260941.1	-	119597701
chr1	119648410	119744218	ENSG00000092621.13	+	119744218
chr1	119893532	119896515	ENSG00000134249.7	-	119893532
chr1	120076615	120077091	ENSG00000273406.1	+	120077091
chr1	120963644	120973561	ENSG00000290903.1	+	120973561
chr1	120964000	120977585	ENSG00000285215.3	+	120977585
chr1	121090288	121097655	ENSG00000233029.3	-	121090288
chr1	121087527	121116676	ENSG00000234998.1	-	121087527
chr1	121087297	121097161	ENSG00000291135.1	+	121097161
chr1	121167645	121185539	ENSG00000188610.12	-	121167645
chr1	121519102	121575702	ENSG00000291141.1	+	121575702
chr1	143790009	143797108	ENSG00000263590.2	+	143797108
chr1	143955286	143971986	ENSG00000263513.6	-	143955286
chr1	144227028	144250326	ENSG00000232527.8	-	144227028
chr1	144412575	144412740	ENSG00000207205.1	+	144412740
chr1	145095973	145112696	ENSG00000215784.6	+	145112696
chr1	145164098	145216058	ENSG00000290867.1	-	145164098
chr1	145281115	145281462	ENSG00000276216.1	+	145281462
chr1	145289899	145425603	ENSG00000162825.18	-	145289899
chr1	145848521	145859836	ENSG00000131788.16	-	145848521
chr1	145911349	145918717	ENSG00000131779.11	-	145911349
chr1	145992434	145996579	ENSG00000265972.6	-	145992434
chr1	146052080	146052244	ENSG00000201558.1	-	146052080
chr1	146052565	146061952	ENSG00000233396.9	+	146061952
chr1	148102046	148152322	ENSG00000263956.8	-	148102046
chr1	148159212	148255012	ENSG00000227733.12	-	148159212
chr1	149048575	149051273	ENSG00000254539.1	+	149051273
chr1	149175747	149259987	ENSG00000274265.5	+	149259987
chr1	149197554	149240841	ENSG00000291233.1	-	149197554
chr1	149264251	149264816	ENSG00000272755.1	+	149264816
chr1	149720530	149734391	ENSG00000234232.8	-	149720530
chr1	149676850	149747818	ENSG00000290790.1	-	149676850
chr1	149782670	149791675	ENSG00000150337.14	+	149791675
chr1	149861270	149862504	ENSG00000264207.1	+	149862504
chr1	149884458	149886682	ENSG00000184678.11	-	149884458
chr1	149923316	149927803	ENSG00000143368.10	-	149923316
chr1	149928650	149936879	ENSG00000014914.21	-	149928650
chr1	150282542	150287093	ENSG00000159208.16	+	150287093
chr1	150321478	150353233	ENSG00000117360.13	+	150353233
chr1	150548561	150557724	ENSG00000237781.3	-	150548561
chr1	150794879	150809577	ENSG00000143387.14	-	150794879
chr1	150887135	150913292	ENSG00000283324.1	+	150913292
chr1	150982248	150995634	ENSG00000143412.10	+	150995634
chr1	151156648	151159749	ENSG00000163154.6	+	151159749
chr1	151700057	151716803	ENSG00000159409.15	-	151700057
chr1	151800263	151805419	ENSG00000213171.3	-	151800263
chr1	151837817	151840557	ENSG00000225556.2	-	151837817
chr1	152348734	152360006	ENSG00000143520.6	-	152348734
chr1	152510802	152512177	ENSG00000186207.5	+	152512177
chr1	152514481	152516008	ENSG00000169509.6	+	152516008
chr1	152698344	152699442	ENSG00000187173.4	+	152699442
chr1	152758024	152762056	ENSG00000203786.7	+	152762056
chr1	152804831	152806651	ENSG00000197084.6	-	152804831
chr1	152811970	152813108	ENSG00000196734.9	+	152813108
chr1	152842855	152843983	ENSG00000235942.3	+	152843983
chr1	152908545	152911886	ENSG00000163207.7	+	152911886
chr1	152970647	152972574	ENSG00000184148.4	+	152972574
chr1	153031202	153032900	ENSG00000169469.9	+	153032900
chr1	153093134	153106184	ENSG00000203785.9	-	153093134
chr1	153174517	153191676	ENSG00000229699.1	+	153191676
chr1	153259686	153262124	ENSG00000203782.6	+	153262124
chr1	153297115	153312952	ENSG00000159527.4	-	153297115
chr1	153457743	153460651	ENSG00000143556.9	-	153457743
chr1	153547328	153549258	ENSG00000188015.10	-	153547328
chr1	153627925	153632039	ENSG00000160678.12	+	153632039
chr1	153947668	153958615	ENSG00000160741.17	-	153947668
chr1	153964360	153965070	ENSG00000282386.1	+	153965070
chr1	153966515	153966930	ENSG00000273026.1	+	153966930
chr1	153992689	154155116	ENSG00000143552.10	-	153992689
chr1	154321089	154325325	ENSG00000143595.13	+	154325325
chr1	154402327	154406564	ENSG00000228013.1	-	154402327
chr1	154502218	154548147	ENSG00000163239.12	+	154548147
chr1	154937369	154938059	ENSG00000270361.1	+	154938059
chr1	154974652	154979251	ENSG00000173207.13	+	154979251
chr1	154993585	154994315	ENSG00000163352.6	+	154994315
chr1	155018519	155033781	ENSG00000163354.15	-	155018519
chr1	155063736	155069553	ENSG00000243364.8	+	155069553
chr1	155063747	155086807	ENSG00000251246.1	+	155086807
chr1	155078836	155087538	ENSG00000143590.14	+	155087538
chr1	155169407	155173475	ENSG00000163463.13	-	155169407
chr1	155234451	155244699	ENSG00000177628.16	-	155234451
chr1	155991389	156001787	ENSG00000224276.1	+	156001787
chr1	156035298	156053798	ENSG00000160803.8	-	156035298
chr1	156212992	156240042	ENSG00000160783.19	+	156240042
chr1	156249223	156282825	ENSG00000198952.8	-	156249223
chr1	156337313	156346995	ENSG00000163467.12	+	156346995
chr1	156369210	156385219	ENSG00000132677.13	+	156385219
chr1	156509853	156511681	ENSG00000260460.1	+	156511681
chr1	156525404	156572604	ENSG00000183856.11	-	156525404
chr1	156614741	156615288	ENSG00000272971.1	-	156614741
chr1	156619330	156625725	ENSG00000132702.13	+	156625725
chr1	156637782	156641004	ENSG00000272068.1	-	156637782
chr1	156687694	156691997	ENSG00000237588.2	-	156687694
chr1	156737302	156741590	ENSG00000143314.12	-	156737302
chr1	156840062	156859117	ENSG00000027644.5	-	156840062
chr1	156815635	156881850	ENSG00000198400.14	+	156881850
chr1	156893697	156916429	ENSG00000187800.14	+	156916429
chr1	157573746	157598085	ENSG00000163518.11	-	157573746
chr1	158025549	158031166	ENSG00000226520.1	+	158031166
chr1	158131982	158149810	ENSG00000231666.7	-	158131982
chr1	158930795	158977059	ENSG00000163564.15	+	158977059
chr1	159204874	159206500	ENSG00000213088.13	+	159206500
chr1	159346165	159469068	ENSG00000228560.1	-	159346165
chr1	159587825	159588865	ENSG00000132703.4	+	159588865
chr1	159712288	159714589	ENSG00000132693.12	-	159712288
chr1	159780931	159782543	ENSG00000158716.9	+	159782543
chr1	159826810	159837492	ENSG00000158714.11	+	159837492
chr1	159872363	159900165	ENSG00000213085.10	-	159872363
chr1	159951491	159954237	ENSG00000162723.10	-	159951491
chr1	160091339	160098943	ENSG00000162729.14	-	160091339
chr1	160190574	160201886	ENSG00000143318.13	+	160201886
chr1	160261730	160263328	ENSG00000228606.4	+	160263328
chr1	160608105	160647044	ENSG00000117090.16	-	160608105
chr1	160670777	160699761	ENSG00000228863.8	+	160699761
chr1	160932464	160949922	ENSG00000198358.4	+	160949922
chr1	161039250	161045977	ENSG00000158773.14	-	161039250
chr1	161084464	161087571	ENSG00000228917.1	+	161087571
chr1	161152775	161158856	ENSG00000143222.12	+	161158856
chr1	161159449	161165723	ENSG00000143258.17	+	161165723
chr1	161197103	161214723	ENSG00000158864.13	+	161214723
chr1	161229665	161238244	ENSG00000143257.12	-	161229665
chr1	161258744	161285450	ENSG00000248485.2	+	161285450
chr1	161403408	161470523	ENSG00000283360.1	-	161403408
chr1	161518704	161519568	ENSG00000289273.1	+	161519568
chr1	161623195	161631963	ENSG00000162747.13	-	161623195
chr1	161544806	161631456	ENSG00000289768.1	-	161544806
chr1	161749757	161757238	ENSG00000081721.12	+	161757238
chr1	161890832	161892196	ENSG00000229808.1	+	161892196
chr1	162560226	162561308	ENSG00000259788.1	-	162560226
chr1	164828435	164829952	ENSG00000271917.1	+	164829952
chr1	165706555	165707284	ENSG00000273365.1	-	165706555
chr1	165698749	165709968	ENSG00000215838.4	+	165709968
chr1	166603915	166625238	ENSG00000290604.1	+	166625238
chr1	166612469	166631400	ENSG00000215834.11	+	166631400
chr1	166856509	166876264	ENSG00000152382.6	-	166856509
chr1	167052835	167166479	ENSG00000143167.12	-	167052835
chr1	167052550	167058542	ENSG00000227907.1	+	167058542
chr1	167219821	167220588	ENSG00000272205.2	-	167219821
chr1	167379107	167381000	ENSG00000272033.1	+	167381000
chr1	167425026	167518640	ENSG00000198821.12	-	167425026
chr1	168317496	168376876	ENSG00000227722.2	+	168376876
chr1	168576604	168582069	ENSG00000143184.5	+	168582069
chr1	168784011	168792886	ENSG00000225826.2	+	168792886
chr1	168903904	169087005	ENSG00000203601.3	-	168903904
chr1	169104123	169104907	ENSG00000237707.1	+	169104907
chr1	169588848	169630193	ENSG00000174175.17	-	169588848
chr1	169762928	169764648	ENSG00000230704.1	-	169762928
chr1	169722639	169764705	ENSG00000007908.16	-	169722639
chr1	170271394	170284277	ENSG00000224286.6	-	170271394
chr1	170460452	170532647	ENSG00000231407.6	-	170460452
chr1	170667380	170669425	ENSG00000271811.1	+	170669425
chr1	171137739	171161568	ENSG00000117507.6	+	171161568
chr1	171199243	171227788	ENSG00000225243.5	-	171199243
chr1	171635416	171652688	ENSG00000034971.17	-	171635416
chr1	172659102	172666876	ENSG00000117560.8	+	172666876
chr1	173903799	173917327	ENSG00000117601.15	-	173903799
chr1	174022508	174023167	ENSG00000224977.2	+	174023167
chr1	175315193	175743595	ENSG00000116147.18	-	175315193
chr1	175877342	175880468	ENSG00000224718.1	+	175880468
chr1	175904761	175921057	ENSG00000227740.2	-	175904761
chr1	178479239	178499634	ENSG00000188585.10	-	178479239
chr1	178542751	178548889	ENSG00000213057.5	+	178548889
chr1	179543200	179548922	ENSG00000261250.1	-	179543200
chr1	179550538	179575952	ENSG00000116218.13	-	179550538
chr1	179730190	179742697	ENSG00000243062.6	+	179742697
