Chromosome	Start	End	Strand	gene_id	transcript_id
chr1	19814366	19819502	+	ENSG00000235434.1	ENST00000454736.1
chr1	19970968	19971269	+	ENSG00000242688.3	ENST00000488028.3
chr1	20186095	20196050	+	ENSG00000162543.6	ENST00000375099.4
chr1	20525988	20526751	+	ENSG00000215520.3	ENST00000443195.1
chr1	20552572	20555020	+	ENSG00000183114.8	ENST00000332947.6
chr1	20633678	20633788	+	ENSG00000284005.1	ENST00000622012.1
chr1	20732879	20733952	+	ENSG00000233069.1	ENST00000436642.1
chr1	20841240	20841302	+	ENSG00000251914.1	ENST00000516105.1
chr1	21161474	21162081	+	ENSG00000235112.1	ENST00000430808.1
chr1	21177053	21178164	+	ENSG00000287192.1	ENST00000669329.1
chr1	21266081	21267251	+	ENSG00000236936.1	ENST00000416959.1
chr1	21397986	21398362	+	ENSG00000236216.5	ENST00000486095.1
chr1	21428302	21429536	+	ENSG00000187952.9	ENST00000481504.2
chr1	21434317	21437558	+	ENSG00000186543.7	ENST00000436658.1
chr1	21547403	21554002	+	ENSG00000289715.1	ENST00000696766.1
chr1	21586471	21591187	+	ENSG00000233431.1	ENST00000457706.1
chr1	21768268	21768575	+	ENSG00000231978.2	ENST00000434488.2
chr1	21908097	21908580	+	ENSG00000232037.3	ENST00000423231.1
chr1	21987480	21987777	+	ENSG00000273610.1	ENST00000485776.3
chr1	21987815	21987919	+	ENSG00000201919.1	ENST00000365049.1
chr1	22010649	22010946	+	ENSG00000278124.1	ENST00000466485.3
chr1	22010984	22011088	+	ENSG00000201273.1	ENST00000364403.1
chr1	22030526	22030748	+	ENSG00000285794.1	ENST00000642137.1
chr1	22059196	22064199	+	ENSG00000230068.2	ENST00000431803.2
chr1	22142849	22157401	+	ENSG00000285873.1	ENST00000648968.1
chr1	22266238	22266300	+	ENSG00000266564.1	ENST00000581169.1
chr1	22517473	22519708	+	ENSG00000237200.1	ENST00000438551.1
chr1	22719516	22719598	+	ENSG00000265422.1	ENST00000581646.1
chr1	23044304	23044372	+	ENSG00000263793.1	ENST00000577915.1
chr1	23140324	23141142	+	ENSG00000229010.1	ENST00000450968.1
chr1	23162703	23162810	+	ENSG00000206935.1	ENST00000384208.1
chr1	23163952	23164053	+	ENSG00000252578.1	ENST00000516769.1
chr1	23244764	23245224	+	ENSG00000215381.3	ENST00000442089.1
chr1	23297796	23302866	+	ENSG00000284726.1	ENST00000641772.1
chr1	23370253	23370346	+	ENSG00000201405.1	ENST00000364535.1
chr1	23410831	23412146	+	ENSG00000232482.2	ENST00000445848.2
chr1	23670293	23680259	+	ENSG00000229239.2	ENST00000451300.2
chr1	23907110	23907885	+	ENSG00000232557.3	ENST00000411815.3
chr1	23929069	23929147	+	ENSG00000264926.1	ENST00000578143.1
chr1	24040834	24086799	+	ENSG00000225315.2	ENST00000439239.2
chr1	24066773	24083565	+	ENSG00000230703.1	ENST00000429191.1
chr1	24200239	24211693	+	ENSG00000230023.2	ENST00000439059.2
chr1	24476361	24476739	+	ENSG00000288982.1	ENST00000685637.1
chr1	24563626	24563974	+	ENSG00000227312.2	ENST00000443086.2
chr1	24704893	24717596	+	ENSG00000284699.1	ENST00000641176.1
chr1	24961344	24963097	+	ENSG00000229162.1	ENST00000456316.1
chr1	25023502	25023586	+	ENSG00000264371.1	ENST00000580572.1
chr1	25208138	25209437	+	ENSG00000231953.2	ENST00000455902.2
chr1	25232585	25234775	+	ENSG00000284602.1	ENST00000641729.1
chr1	25239493	25240253	+	ENSG00000284657.1	ENST00000641059.1
chr1	25247836	25248321	+	ENSG00000272432.1	ENST00000607698.1
chr1	25398720	25399198	+	ENSG00000238084.4	ENST00000419297.2
chr1	25581477	25590356	+	ENSG00000225643.1	ENST00000412797.1
chr1	25877495	25877605	+	ENSG00000207302.1	ENST00000384572.1
chr1	25887359	25887610	+	ENSG00000229786.1	ENST00000440710.1
chr1	25888969	25889109	+	ENSG00000223624.1	ENST00000453780.1
chr1	25964196	25964300	+	ENSG00000207237.1	ENST00000384508.1
chr1	26006005	26006130	+	ENSG00000252190.1	ENST00000516381.1
chr1	26006215	26006299	+	ENSG00000252691.1	ENST00000516882.1
chr1	26046664	26049099	+	ENSG00000284309.1	ENST00000640097.1
chr1	26159078	26163962	+	ENSG00000197245.6	ENST00000374268.5
chr1	26326687	26327033	+	ENSG00000225854.2	ENST00000434718.2
chr1	26554541	26554593	+	ENSG00000238705.1	ENST00000459548.1
chr1	26647446	26647681	+	ENSG00000235069.2	ENST00000443847.2
chr1	26692585	26693046	+	ENSG00000290006.1	ENST00000702444.1
chr1	26814821	26815112	+	ENSG00000241188.3	ENST00000477476.3
chr1	26817299	26817476	+	ENSG00000287810.1	ENST00000656287.1
chr1	26863148	26864456	+	ENSG00000175793.12	ENST00000339276.6
chr1	26876132	26878245	+	ENSG00000226698.1	ENST00000448791.1
chr1	26980164	26980975	+	ENSG00000172746.6	ENST00000310055.5
chr1	26983627	26984024	+	ENSG00000224064.1	ENST00000455684.1
chr1	27176750	27177277	+	ENSG00000229985.2	ENST00000457038.1
chr1	27206929	27207796	+	ENSG00000225159.1	ENST00000449818.1
chr1	27211264	27211484	+	ENSG00000225990.2	ENST00000438350.2
chr1	27311239	27311838	+	ENSG00000243659.1	ENST00000428741.2
chr1	27325218	27325325	+	ENSG00000206888.1	ENST00000384161.1
chr1	27325328	27325796	+	ENSG00000241547.1	ENST00000486001.1
chr1	27389467	27390145	+	ENSG00000231207.1	ENST00000443746.1
chr1	27392621	27395814	+	ENSG00000181773.7	ENST00000374024.4
chr1	27457197	27459582	+	ENSG00000241169.1	ENST00000492975.1
chr1	27525804	27530561	+	ENSG00000237429.1	ENST00000443579.1
chr1	27649418	27649610	+	ENSG00000235912.1	ENST00000433132.1
chr1	27693730	27693835	+	ENSG00000207095.1	ENST00000384367.1
chr1	27739090	27739439	+	ENSG00000231344.1	ENST00000446554.1
chr1	27739953	27740629	+	ENSG00000230833.1	ENST00000425462.1
chr1	27773857	27774041	+	ENSG00000269971.1	ENST00000602607.1
chr1	27819982	27820341	+	ENSG00000270031.1	ENST00000602843.1
chr1	27824537	27824643	+	ENSG00000223062.1	ENST00000411130.1
chr1	27834400	27834566	+	ENSG00000252947.1	ENST00000517138.1
chr1	28109738	28110298	+	ENSG00000228943.1	ENST00000443484.1
chr1	28247143	28247568	+	ENSG00000271398.1	ENST00000605846.1
chr1	28259517	28282491	+	ENSG00000130766.5	ENST00000253063.4
chr1	28453540	28453934	+	ENSG00000229820.2	ENST00000438601.2
chr1	28481361	28481480	+	ENSG00000221216.1	ENST00000408289.1
chr1	28507365	28507571	+	ENSG00000274266.1	ENST00000364938.1
chr1	28508558	28508762	+	ENSG00000200087.1	ENST00000363217.1
chr1	28544459	28546542	+	ENSG00000279443.1	ENST00000624273.1
chr1	28648599	28648730	+	ENSG00000270103.3	ENST00000602813.1
chr1	28648599	28648733	+	ENSG00000274978.1	ENST00000387069.1
chr1	28689664	28689794	+	ENSG00000252777.1	ENST00000516968.1
chr1	28812169	28871267	+	ENSG00000116329.12	ENST00000234961.7
chr1	28985709	28985810	+	ENSG00000206704.1	ENST00000383977.1
chr1	29041198	29041480	+	ENSG00000277958.1	ENST00000619772.1
chr1	29223932	29224816	+	ENSG00000237934.1	ENST00000427046.1
chr1	29755174	29790597	+	ENSG00000284676.1	ENST00000641702.1
chr1	30140262	30141607	+	ENSG00000233372.1	ENST00000441046.1
chr1	30226522	30226615	+	ENSG00000231251.1	ENST00000442774.1
chr1	30415824	30421108	+	ENSG00000231949.1	ENST00000420354.1
chr1	30731692	30733427	+	ENSG00000287510.1	ENST00000655364.1
chr1	30843822	30844110	+	ENSG00000222784.1	ENST00000410852.1
chr1	30858157	30860254	+	ENSG00000235143.1	ENST00000431202.1
chr1	31036733	31037240	+	ENSG00000237329.2	ENST00000417263.2
chr1	31050871	31051034	+	ENSG00000232768.1	ENST00000429616.1
chr1	31644693	31649371	+	ENSG00000264078.1	ENST00000581333.1
chr1	31789129	31791322	+	ENSG00000254545.1	ENST00000527035.1
chr1	31933019	31933975	+	ENSG00000228634.1	ENST00000447478.1
chr1	32086948	32087007	+	ENSG00000266203.1	ENST00000577515.1
chr1	32170732	32176568	+	ENSG00000250135.1	ENST00000515055.1
chr1	32240525	32241904	+	ENSG00000290045.1	ENST00000702633.1
chr1	32247221	32248856	+	ENSG00000183615.6	ENST00000373582.4
chr1	32421978	32422319	+	ENSG00000270850.1	ENST00000604085.1
chr1	32457834	32458135	+	ENSG00000263529.2	ENST00000579362.2
chr1	32465056	32600792	+	ENSG00000254553.1	ENST00000480336.1
chr1	32465071	32496686	+	ENSG00000273274.2	ENST00000609129.2
chr1	32639950	32640052	+	ENSG00000200591.1	ENST00000363721.1
chr1	32925453	32951638	+	ENSG00000287691.1	ENST00000661031.1
chr1	32979946	32980472	+	ENSG00000217644.5	ENST00000401937.3
chr1	32986951	32988233	+	ENSG00000239670.1	ENST00000447420.1
chr1	32987074	33032469	+	ENSG00000236065.2	ENST00000427524.1
chr1	33162850	33166298	+	ENSG00000279179.1	ENST00000624339.1
chr1	33261211	33261680	+	ENSG00000270115.1	ENST00000602618.1
chr1	33350351	33363245	+	ENSG00000233246.1	ENST00000432703.1
chr1	33466248	33468954	+	ENSG00000234512.1	ENST00000413515.1
chr1	33838522	33840140	+	ENSG00000227000.2	ENST00000432666.2
chr1	34112948	34113063	+	ENSG00000201148.1	ENST00000364278.1
chr1	34755046	34758512	+	ENSG00000189280.3	ENST00000338513.1
chr1	34759739	34762327	+	ENSG00000189433.7	ENST00000339480.3
chr1	34850693	34851555	+	ENSG00000230163.1	ENST00000429293.1
chr1	35053467	35059271	+	ENSG00000233940.1	ENST00000428087.1
chr1	35122021	35122484	+	ENSG00000228348.1	ENST00000442409.1
chr1	35195968	35196062	+	ENSG00000201868.1	ENST00000364998.1
chr1	35310273	35310425	+	ENSG00000201542.1	ENST00000364672.1
chr1	35350721	35351607	+	ENSG00000229994.1	ENST00000434805.1
chr1	35399996	35400319	+	ENSG00000278702.1	ENST00000610617.1
chr1	35509741	35511438	+	ENSG00000236274.1	ENST00000442276.1
chr1	35739388	35743576	+	ENSG00000232335.1	ENST00000373226.2
chr1	36088891	36093932	+	ENSG00000116863.11	ENST00000373178.5
chr1	36191914	36192170	+	ENSG00000264592.2	ENST00000579043.2
chr1	36329629	36335406	+	ENSG00000286379.1	ENST00000657488.1
chr1	36630334	36630857	+	ENSG00000230214.1	ENST00000453860.1
chr1	36703952	36710582	+	ENSG00000284705.1	ENST00000641463.1
chr1	37133488	37136146	+	ENSG00000284650.1	ENST00000642067.1
chr1	37161562	37161634	+	ENSG00000264698.1	ENST00000579351.1
chr1	37203609	37203716	+	ENSG00000207328.1	ENST00000384598.1
chr1	37330851	37330996	+	ENSG00000230451.2	ENST00000438196.2
chr1	37480229	37480289	+	ENSG00000283724.1	ENST00000619365.1
chr1	37544762	37545294	+	ENSG00000232273.1	ENST00000437933.1
chr1	37556246	37556499	+	ENSG00000237749.4	ENST00000423216.2
chr1	37596125	37607336	+	ENSG00000284748.1	ENST00000641190.1
chr1	37776669	37779418	+	ENSG00000214141.4	ENST00000473049.1
chr1	37840985	37841676	+	ENSG00000235673.1	ENST00000447422.1
chr1	37860696	37861580	+	ENSG00000230955.1	ENST00000419993.1
chr1	37884236	37884317	+	ENSG00000252448.1	ENST00000516639.1
chr1	37885022	37885117	+	ENSG00000222282.1	ENST00000410350.1
chr1	37953507	37953780	+	ENSG00000277168.1	ENST00000616313.1
chr1	37991461	37991569	+	ENSG00000212541.1	ENST00000391239.1
chr1	38089230	38089329	+	ENSG00000265596.1	ENST00000582606.1
chr1	38149543	38162545	+	ENSG00000286552.1	ENST00000655033.1
chr1	38193618	38210340	+	ENSG00000287987.1	ENST00000671301.1
chr1	38396658	38396765	+	ENSG00000200796.1	ENST00000363926.1
chr1	38708930	38710890	+	ENSG00000215895.4	ENST00000442006.2
chr1	38926869	38926977	+	ENSG00000199963.1	ENST00000363093.1
chr1	39491635	39529869	+	ENSG00000183682.8	ENST00000331593.6
chr1	39514955	39516490	+	ENSG00000237624.1	ENST00000447263.1
chr1	39633415	39633903	+	ENSG00000225903.1	ENST00000424418.1
chr1	39718027	39718595	+	ENSG00000225333.6	ENST00000497982.2
chr1	39733326	39735732	+	ENSG00000289711.1	ENST00000696554.1
chr1	39779968	39781418	+	ENSG00000285905.1	ENST00000648746.1
chr1	39788975	39790171	+	ENSG00000261798.1	ENST00000566366.1
chr1	39897744	39899098	+	ENSG00000236546.1	ENST00000418255.1
chr1	39962679	39963404	+	ENSG00000228477.1	ENST00000438210.1
chr1	40132763	40133448	+	ENSG00000226745.2	ENST00000430724.2
chr1	40161386	40240921	+	ENSG00000117000.9	ENST00000372771.5
chr1	40177842	40177949	+	ENSG00000207508.1	ENST00000384777.1
chr1	40364765	40365183	+	ENSG00000213172.3	ENST00000392713.3
chr1	40464318	40466767	+	ENSG00000260920.2	ENST00000565390.2
chr1	40473054	40474059	+	ENSG00000279667.1	ENST00000624658.1
chr1	40563533	40563659	+	ENSG00000236505.1	ENST00000414105.1
chr1	40659847	40667480	+	ENSG00000287743.1	ENST00000658681.1
chr1	40754354	40754446	+	ENSG00000198974.3	ENST00000362104.3
chr1	40757283	40757372	+	ENSG00000207962.1	ENST00000385227.1
chr1	40804845	40805141	+	ENSG00000264582.2	ENST00000477493.3
chr1	40863913	40876670	+	ENSG00000229528.1	ENST00000414199.1
chr1	40939293	40945524	+	ENSG00000286668.1	ENST00000653821.1
chr1	41014589	41043890	+	ENSG00000281207.1	ENST00000626479.1
chr1	41098637	41099136	+	ENSG00000215893.3	ENST00000401064.3
chr1	41241771	41338644	+	ENSG00000287400.1	ENST00000657314.1
chr1	41535442	41535868	+	ENSG00000230881.1	ENST00000440249.1
chr1	41542068	41544310	+	ENSG00000230638.4	ENST00000434240.2
chr1	42036142	42051784	+	ENSG00000287587.1	ENST00000670076.1
chr1	42040596	42041729	+	ENSG00000227538.1	ENST00000391730.2
chr1	42140634	42141391	+	ENSG00000228776.2	ENST00000434936.2
chr1	42153409	42155820	+	ENSG00000044012.4	ENST00000372581.2
chr1	42491738	42492493	+	ENSG00000230116.1	ENST00000426743.1
chr1	42569032	42569139	+	ENSG00000200254.1	ENST00000363384.1
chr1	42570969	42571390	+	ENSG00000236180.2	ENST00000454425.2
chr1	42678734	42681659	+	ENSG00000234917.2	ENST00000414339.2
chr1	42903231	42903912	+	ENSG00000225099.1	ENST00000439215.1
chr1	42924459	42925849	+	ENSG00000288955.1	ENST00000691915.1
chr1	42991437	42991544	+	ENSG00000207256.1	ENST00000384526.1
chr1	43104085	43104497	+	ENSG00000277513.1	ENST00000622380.1
chr1	43196416	43196536	+	ENSG00000199240.1	ENST00000362370.1
